runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,STRUCTURAL,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,STRUCTURAL,RandomForest,0.5065104166666666,0.4099663628472222,0.5807074652777777,0.4998307291666666,0.47058823529411764,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,STRUCTURAL,RandomForest,0.48828125,0.37587890625,0.622802734375,0.4969921875,0.6470588235294118,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,ALL_OBSERVER,LogisticRegression,0.970486111111111,0.9308485243055555,1.0,0.5032291666666666,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,ALL_OBSERVER,LogisticRegression,0.94921875,0.8359375,1.0,0.493125,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,ALL_OBSERVER,RandomForest,0.9602864583333333,0.9013563368055556,1.0,0.506935763888889,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
